phecname,date,total_samples,delta_count,delta_frequency
East Midlands,2021-04-01,149,0,0
East Midlands,2021-04-02,164,0,0
East Midlands,2021-04-03,127,2,0.015748031496062992
East Midlands,2021-04-04,131,0,0
East Midlands,2021-04-05,130,0,0
East Midlands,2021-04-06,164,3,0.018292682926829267
East Midlands,2021-04-07,75,1,0.013333333333333334
East Midlands,2021-04-08,87,1,0.011494252873563218
East Midlands,2021-04-09,110,0,0
East Midlands,2021-04-10,89,2,0.02247191011235955
East Midlands,2021-04-11,93,1,0.010752688172043012
East Midlands,2021-04-12,116,0,0
East Midlands,2021-04-13,97,1,0.010309278350515464
East Midlands,2021-04-14,99,3,0.030303030303030304
East Midlands,2021-04-15,83,2,0.024096385542168676
East Midlands,2021-04-16,86,3,0.03488372093023256
East Midlands,2021-04-17,71,6,0.08450704225352113
East Midlands,2021-04-18,73,0,0
East Midlands,2021-04-19,110,8,0.07272727272727272
East Midlands,2021-04-20,112,9,0.08035714285714286
East Midlands,2021-04-21,116,13,0.11206896551724138
East Midlands,2021-04-22,95,9,0.09473684210526316
East Midlands,2021-04-23,80,8,0.1
East Midlands,2021-04-24,73,7,0.0958904109589041
East Midlands,2021-04-25,71,4,0.056338028169014086
East Midlands,2021-04-26,105,4,0.0380952380952381
East Midlands,2021-04-27,107,12,0.11214953271028037
East Midlands,2021-04-28,83,10,0.12048192771084337
East Midlands,2021-04-29,96,8,0.08333333333333333
East Midlands,2021-04-30,66,16,0.24242424242424243
East Midlands,2021-05-01,69,12,0.17391304347826086
East Midlands,2021-05-02,88,12,0.13636363636363635
East Midlands,2021-05-03,110,14,0.12727272727272726
East Midlands,2021-05-04,142,23,0.1619718309859155
East Midlands,2021-05-05,145,28,0.19310344827586207
East Midlands,2021-05-06,167,31,0.18562874251497005
East Midlands,2021-05-07,141,31,0.2198581560283688
East Midlands,2021-05-08,85,21,0.24705882352941178
East Midlands,2021-05-09,107,20,0.18691588785046728
East Midlands,2021-05-10,153,40,0.26143790849673204
East Midlands,2021-05-11,101,27,0.26732673267326734
East Midlands,2021-05-12,99,28,0.2828282828282828
East Midlands,2021-05-13,94,33,0.35106382978723405
East Midlands,2021-05-14,92,29,0.31521739130434784
East Midlands,2021-05-15,67,23,0.34328358208955223
East Midlands,2021-05-16,64,19,0.296875
East Midlands,2021-05-17,102,45,0.4411764705882353
East Midlands,2021-05-18,95,45,0.47368421052631576
East Midlands,2021-05-19,125,65,0.52
East Midlands,2021-05-20,124,67,0.5403225806451613
East Midlands,2021-05-21,75,43,0.5733333333333334
East Midlands,2021-05-22,92,59,0.6413043478260869
East Midlands,2021-05-23,80,47,0.5875
East Midlands,2021-05-24,135,84,0.6222222222222222
East Midlands,2021-05-25,121,85,0.7024793388429752
East Midlands,2021-05-26,114,78,0.6842105263157895
East Midlands,2021-05-27,127,91,0.7165354330708661
East Midlands,2021-05-28,131,87,0.6641221374045801
East Midlands,2021-05-29,114,91,0.7982456140350878
East Midlands,2021-05-30,120,89,0.7416666666666667
East Midlands,2021-05-31,138,104,0.7536231884057971
East Midlands,2021-06-01,205,166,0.8097560975609757
East Midlands,2021-06-02,204,176,0.8627450980392157
East Midlands,2021-06-03,171,138,0.8070175438596491
East Midlands,2021-06-04,189,157,0.8306878306878307
East Midlands,2021-06-05,181,157,0.8674033149171271
East Midlands,2021-06-06,213,180,0.8450704225352113
East Midlands,2021-06-07,331,292,0.8821752265861027
East Midlands,2021-06-08,268,245,0.914179104477612
East Midlands,2021-06-09,246,223,0.9065040650406504
East Midlands,2021-06-10,247,226,0.9149797570850202
East Midlands,2021-06-11,198,183,0.9242424242424242
East Midlands,2021-06-12,169,157,0.9289940828402367
East Midlands,2021-06-13,172,143,0.8313953488372093
East Midlands,2021-06-14,269,255,0.9479553903345725
East Midlands,2021-06-15,253,240,0.9486166007905138
East Midlands,2021-06-16,320,296,0.925
East Midlands,2021-06-17,281,270,0.9608540925266904
East Midlands,2021-06-18,359,349,0.9721448467966574
East Midlands,2021-06-19,190,185,0.9736842105263158
East Midlands,2021-06-20,185,183,0.9891891891891892
