collection_date,variant,variant_count,total_count,variant_frequency
2020-09-05,B.1.1.7,0,1553,0
2020-09-05,B.1.617.2,0,1553,0
2020-09-05,BA.1,0,1553,0
2020-09-05,BA.2,0,1553,0
2020-09-05,BA.2.75,0,1553,0
2020-09-05,BA.4,0,1553,0
2020-09-05,BA.5,0,1553,0
2020-09-05,BA.5.3,0,1553,0
2020-09-05,Other,1553,1553,1
2020-09-05,XBB,0,1553,0
2020-09-12,B.1.1.7,0,2027,0
2020-09-12,B.1.617.2,0,2027,0
2020-09-12,BA.1,0,2027,0
2020-09-12,BA.2,0,2027,0
2020-09-12,BA.2.75,0,2027,0
2020-09-12,BA.4,0,2027,0
2020-09-12,BA.5,0,2027,0
2020-09-12,BA.5.3,0,2027,0
2020-09-12,Other,2027,2027,1
2020-09-12,XBB,0,2027,0
2020-09-19,B.1.1.7,0,1266,0
2020-09-19,B.1.617.2,0,1266,0
2020-09-19,BA.1,0,1266,0
2020-09-19,BA.2,0,1266,0
2020-09-19,BA.2.75,0,1266,0
2020-09-19,BA.4,0,1266,0
2020-09-19,BA.5,0,1266,0
2020-09-19,BA.5.3,0,1266,0
2020-09-19,Other,1266,1266,1
2020-09-19,XBB,0,1266,0
2020-09-26,B.1.1.7,2,2842,7.037297677691766e-4
2020-09-26,B.1.617.2,0,2842,0
2020-09-26,BA.1,0,2842,0
2020-09-26,BA.2,0,2842,0
2020-09-26,BA.2.75,0,2842,0
2020-09-26,BA.4,0,2842,0
2020-09-26,BA.5,0,2842,0
2020-09-26,BA.5.3,0,2842,0
2020-09-26,Other,2840,2842,0.9992962702322308
2020-09-26,XBB,0,2842,0
2020-10-03,B.1.1.7,2,2031,9.847365829640572e-4
2020-10-03,B.1.617.2,0,2031,0
2020-10-03,BA.1,0,2031,0
2020-10-03,BA.2,0,2031,0
2020-10-03,BA.2.75,0,2031,0
2020-10-03,BA.4,0,2031,0
2020-10-03,BA.5,0,2031,0
2020-10-03,BA.5.3,0,2031,0
2020-10-03,Other,2029,2031,0.999015263417036
2020-10-03,XBB,0,2031,0
2020-10-10,B.1.1.7,1,3425,2.9197080291970805e-4
2020-10-10,B.1.617.2,0,3425,0
2020-10-10,BA.1,0,3425,0
2020-10-10,BA.2,0,3425,0
2020-10-10,BA.2.75,0,3425,0
2020-10-10,BA.4,0,3425,0
2020-10-10,BA.5,0,3425,0
2020-10-10,BA.5.3,0,3425,0
